chapter,code,title,classKind,parent_code,uri,definition
02,2B5D.Z,"Tumeur maligne mixte mésenchymateuse et épithéliale, localisation primitive, sans précision",category,2B5D,http://id.who.int/icd/release/11/2024-01/mms/1251935150/unspecified,
02,2B5E,"Tumeur maligne des gaines nerveuses périphériques ou du système nerveux autonome, localisation primitive",category,,http://id.who.int/icd/release/11/2024-01/mms/979754709,
02,2B5F,"Sarcome, non classé ailleurs, localisation primitive",category,,http://id.who.int/icd/release/11/2024-01/mms/1729842914,
02,2B5F.0,"Sarcome de l'utérus, non classé ailleurs",category,2B5F,http://id.who.int/icd/release/11/2024-01/mms/1319990901,
02,2B5F.1,"Sarcome du rétropéritoine ou du péritoine, non classé ailleurs",category,2B5F,http://id.who.int/icd/release/11/2024-01/mms/2091164276,
02,2B5F.10,Myosarcomes de l'omentum,category,2B5F.1,http://id.who.int/icd/release/11/2024-01/mms/415433773,
02,2B5F.1Y,"Autres sarcome du rétropéritoine ou du péritoine, non classé ailleurs",category,2B5F.1,http://id.who.int/icd/release/11/2024-01/mms/2091164276/other,
02,2B5F.1Z,"Sarcome du rétropéritoine ou du péritoine, non classé ailleurs, sans précision",category,2B5F.1,http://id.who.int/icd/release/11/2024-01/mms/2091164276/unspecified,
02,2B5F.2,"Sarcome d'autres localisations précisées, non classé ailleurs",category,2B5F,http://id.who.int/icd/release/11/2024-01/mms/1132023553,
02,2B5F.3,"Sarcome de localisation primitive inconnue, non classé ailleurs",category,2B5F,http://id.who.int/icd/release/11/2024-01/mms/1961520767,
02,2B5G,"Myosarcome de l'utérus, partie non précisée",category,,http://id.who.int/icd/release/11/2024-01/mms/160795619,
02,2B5H,"Tumeur lipomateuse bien différenciée, localisation primitive",category,,http://id.who.int/icd/release/11/2024-01/mms/654289190,
02,2B5J,"Tumeurs malignes osseuses diverses ou du carilage articulaire, localisations autres ou non précisées",category,,http://id.who.int/icd/release/11/2024-01/mms/1128819057,
02,2B5K,"Tumeurs malignes des tissus mous ou sarcomes osseux ou des cartilages articulaires, de localisations autres ou non précisées",category,,http://id.who.int/icd/release/11/2024-01/mms/1544901926,
02,2B5Y,Autres tumeurs mésenchymateuses malignes précisées,category,,http://id.who.int/icd/release/11/2024-01/mms/1965082709/other,
02,2B5Z,"Tumeurs mésenchymateuses malignes, sans précision",category,,http://id.who.int/icd/release/11/2024-01/mms/1965082709/unspecified,
02,,"Tumeurs malignes de la lèvre, de la cavité buccale ou du pharynx",block,,http://id.who.int/icd/release/11/2024-01/mms/794095161,"Les carcinomes épidermoïdes représentent plus de 90% des tumeurs malignes de la cavité buccale et de l'oropharynx. Comme dans d'autres parties des voies aérodigestives supérieures, il existe une association forte et synergique avec le tabagisme et l'abus d'alcool. Dans certaines régions, en particulier le souscontinent indien, le cancer buccal est parmi les plus fréquents, en grande partie à cause de la mastication du tabac."
02,2B60,Tumeurs malignes de la lèvre,category,,http://id.who.int/icd/release/11/2024-01/mms/304997495,"Tumeurs malignes provenant de l'épithélium transitionnel de la lèvre (en dehors de la muqueuse buccale et de la peau de la lèvre externe) ou des structures anatomiques sous-jacentes (par exemple, muscle orbiculaire de la bouche)."
02,2B60.0,Carcinome basocellulaire de la lèvre,category,2B60,http://id.who.int/icd/release/11/2024-01/mms/2044047639,Carcinome basocellulaire provenant de la lèvre.
02,2B60.1,Carcinome épidermoïde de la lèvre,category,2B60,http://id.who.int/icd/release/11/2024-01/mms/1635251327,"Carcinome à cellules épidermoïdes situé sur ou provenant de la muqueuse ou du vermillon de la lèvre, incluant le bord du vermillon mais pas la peau de la lèvre."
02,2B60.Y,Autres tumeurs malignes précisées de la lèvre,category,2B60,http://id.who.int/icd/release/11/2024-01/mms/304997495/other,
02,2B60.Z,"Tumeurs malignes de la lèvre, sans précision",category,2B60,http://id.who.int/icd/release/11/2024-01/mms/304997495/unspecified,
02,2B61,Tumeurs malignes de la base de la langue,category,,http://id.who.int/icd/release/11/2024-01/mms/2003184099,"Tumeur primaire intéressant la base de la langue, souvent associée à une consommation chronique d'alcool et de tabac, à un âge avancé, à certaines situations géographiques, à des antécédents familiaux de cancers des voies aérodigestives supérieures et/ou à certaines carences nutritionnelles et agents infectieux."
02,2B61.0,Carcinome épidermoïde de la base de la langue,category,2B61,http://id.who.int/icd/release/11/2024-01/mms/1822674187,"Carcinome provenant de la base de la langue. Parmi les exemples représentatifs figurent le carcinome épidermoïde, le carcinome adénoïde kystique et le carcinome mucoépidermoïde."
02,2B61.Y,Autres tumeurs malignes de la base de la langue,category,2B61,http://id.who.int/icd/release/11/2024-01/mms/2003184099/other,
02,2B61.Z,"Tumeurs malignes de la base de la langue, sans précision",category,2B61,http://id.who.int/icd/release/11/2024-01/mms/2003184099/unspecified,
02,2B62,Tumeurs malignes de parties de la langue autres ou non précisées,category,,http://id.who.int/icd/release/11/2024-01/mms/63666460,
02,2B62.0,Carcinome épidermoïde de parties autres de la langue ou non précisées,category,2B62,http://id.who.int/icd/release/11/2024-01/mms/941510114,
02,2B62.1,Tumeurs malignes de l'amygdale linguale,category,2B62,http://id.who.int/icd/release/11/2024-01/mms/1784082025,
02,2B62.10,Carcinome épidermoïde de l'amygdale linguale,category,2B62.1,http://id.who.int/icd/release/11/2024-01/mms/1173110787,
02,2B62.1Z,"Tumeurs malignes de l'amygdale linguale, sans précision",category,2B62.1,http://id.who.int/icd/release/11/2024-01/mms/1784082025/unspecified,
02,2B62.Y,Autres tumeurs malignes précisées de parties de la langue autres ou non précisées,category,2B62,http://id.who.int/icd/release/11/2024-01/mms/63666460/other,
02,2B62.Z,"Tumeurs malignes de parties de la langue autres ou non précisées, sans précision",category,2B62,http://id.who.int/icd/release/11/2024-01/mms/63666460/unspecified,
02,2B63,Tumeurs malignes de la gencive,category,,http://id.who.int/icd/release/11/2024-01/mms/1719710858,
02,2B63.0,Carcinome épidermoïde de la gencive,category,2B63,http://id.who.int/icd/release/11/2024-01/mms/446537607,
02,2B63.Y,Autres tumeurs malignes de la gencive,category,2B63,http://id.who.int/icd/release/11/2024-01/mms/1719710858/other,
02,2B63.Z,"Tumeurs malignes de la gencive, sans précision",category,2B63,http://id.who.int/icd/release/11/2024-01/mms/1719710858/unspecified,
02,2B64,Tumeurs malignes du plancher de la bouche,category,,http://id.who.int/icd/release/11/2024-01/mms/359540510,
02,2B64.0,Carcinome épidermoïde du plancher de la bouche,category,2B64,http://id.who.int/icd/release/11/2024-01/mms/755941113,
02,2B64.Y,Autres tumeurs malignes du plancher de la bouche,category,2B64,http://id.who.int/icd/release/11/2024-01/mms/359540510/other,
02,2B64.Z,"Tumeurs malignes du plancher de la bouche, sans précision",category,2B64,http://id.who.int/icd/release/11/2024-01/mms/359540510/unspecified,
02,2B65,Tumeurs malignes du palais,category,,http://id.who.int/icd/release/11/2024-01/mms/1881533064,
02,2B65.0,Adénocarcinome de palais,category,2B65,http://id.who.int/icd/release/11/2024-01/mms/917590633,
02,2B65.1,Carcinome épidermoïde du palais,category,2B65,http://id.who.int/icd/release/11/2024-01/mms/79201902,
02,2B65.Y,Autres tumeurs malignes du palais,category,2B65,http://id.who.int/icd/release/11/2024-01/mms/1881533064/other,
02,2B65.Z,"Tumeurs malignes du palais, sans précision",category,2B65,http://id.who.int/icd/release/11/2024-01/mms/1881533064/unspecified,
02,2B66,"Tumeurs malignes de la bouche, autres ou non précisées",category,,http://id.who.int/icd/release/11/2024-01/mms/76069495,
02,2B66.0,"Carcinome épidermoïde de la bouche, autre ou non précisée",category,2B66,http://id.who.int/icd/release/11/2024-01/mms/844333740,
02,2B66.Y,"Autres tumeurs malignes de la bouche, autres ou non précisées",category,2B66,http://id.who.int/icd/release/11/2024-01/mms/76069495/other,
02,2B66.Z,"Tumeurs malignes de la bouche, autres ou non précisées, sans précision",category,2B66,http://id.who.int/icd/release/11/2024-01/mms/76069495/unspecified,
